 ID,PARAM,dateTime,Chute-Allard,SYM
02NC001,1,2025/01/01,379,B
02NC001,1,2025/01/02,379,B
02NC001,1,2025/01/03,379,B
02NC001,1,2025/01/04,379,B
02NC001,1,2025/01/05,379,B
02NC001,1,2025/01/06,379,B
02NC001,1,2025/01/07,379,B
02NC001,1,2025/01/08,379,B
02NC001,1,2025/01/09,379,B
02NC001,1,2025/01/10,379,B
02NC001,1,2025/01/11,379,B
02NC001,1,2025/01/12,379,B
02NC001,1,2025/01/13,379,B
02NC001,1,2025/01/14,379,B
02NC001,1,2025/01/15,379,B
02NC001,1,2025/01/16,382,B
02NC001,1,2025/01/17,382,B
02NC001,1,2025/01/18,382,B
02NC001,1,2025/01/19,382,B
02NC001,1,2025/01/20,382,B
02NC001,1,2025/01/21,382,B
02NC001,1,2025/01/22,382,B
02NC001,1,2025/01/23,382,B
02NC001,1,2025/01/24,382,B
02NC001,1,2025/01/25,382,B
02NC001,1,2025/01/26,382,B
02NC001,1,2025/01/27,382,B
02NC001,1,2025/01/28,382,B
02NC001,1,2025/01/29,382,B
02NC001,1,2025/01/30,382,B
02NC001,1,2025/01/31,382,B
02NC001,1,2025/02/01,408,B
02NC001,1,2025/02/02,408,B
02NC001,1,2025/02/03,408,B
02NC001,1,2025/02/04,408,B
02NC001,1,2025/02/05,408,B
02NC001,1,2025/02/06,408,B
02NC001,1,2025/02/07,408,B
02NC001,1,2025/02/08,408,B
02NC001,1,2025/02/09,408,B
02NC001,1,2025/02/10,408,B
02NC001,1,2025/02/11,408,B
02NC001,1,2025/02/12,408,B
02NC001,1,2025/02/13,408,B
02NC001,1,2025/02/14,408,B
02NC001,1,2025/02/15,408,B
02NC001,1,2025/02/16,413,B
02NC001,1,2025/02/17,413,B
02NC001,1,2025/02/18,413,B
02NC001,1,2025/02/19,413,B
02NC001,1,2025/02/20,413,B
02NC001,1,2025/02/21,413,B
02NC001,1,2025/02/22,413,B
02NC001,1,2025/02/23,413,B
02NC001,1,2025/02/24,413,B
02NC001,1,2025/02/25,413,B
02NC001,1,2025/02/26,413,B
02NC001,1,2025/02/27,413,B
02NC001,1,2025/02/28,413,B
02NC001,1,2025/03/01,357,B
02NC001,1,2025/03/02,357,B
02NC001,1,2025/03/03,357,B
02NC001,1,2025/03/04,357,B
02NC001,1,2025/03/05,357,B
02NC001,1,2025/03/06,357,B
02NC001,1,2025/03/07,357,B
02NC001,1,2025/03/08,357,B
02NC001,1,2025/03/09,357,B
02NC001,1,2025/03/10,357,B
02NC001,1,2025/03/11,357,B
02NC001,1,2025/03/12,357,B
02NC001,1,2025/03/13,357,B
02NC001,1,2025/03/14,357,B
02NC001,1,2025/03/15,357,B
02NC001,1,2025/03/16,151,B
02NC001,1,2025/03/17,151,B
02NC001,1,2025/03/18,151,B
02NC001,1,2025/03/19,151,B
02NC001,1,2025/03/20,151,B
02NC001,1,2025/03/21,151,B
02NC001,1,2025/03/22,151,B
02NC001,1,2025/03/23,151,B
02NC001,1,2025/03/24,151,B
02NC001,1,2025/03/25,151,B
02NC001,1,2025/03/26,151,B
02NC001,1,2025/03/27,151,B
02NC001,1,2025/03/28,151,B
02NC001,1,2025/03/29,151,B
02NC001,1,2025/03/30,151,B
02NC001,1,2025/03/31,151,B
02NC001,1,2025/04/01,141,B
02NC001,1,2025/04/02,141,B
02NC001,1,2025/04/03,141,B
02NC001,1,2025/04/04,141,B
02NC001,1,2025/04/05,141,B
02NC001,1,2025/04/06,141,B
02NC001,1,2025/04/07,141,B
02NC001,1,2025/04/08,141,B
02NC001,1,2025/04/09,141,B
02NC001,1,2025/04/10,141,B
02NC001,1,2025/04/11,141,B
02NC001,1,2025/04/12,141,B
02NC001,1,2025/04/13,141,B
02NC001,1,2025/04/14,141,B
02NC001,1,2025/04/15,141,B
02NC001,1,2025/04/16,141,B
02NC001,1,2025/04/17,141,B
02NC001,1,2025/04/18,141,B
02NC001,1,2025/04/19,141,B
02NC001,1,2025/04/20,141,B
02NC001,1,2025/04/21,294,
02NC001,1,2025/04/22,345,
02NC001,1,2025/04/23,311,
02NC001,1,2025/04/24,202,
02NC001,1,2025/04/25,165,
02NC001,1,2025/04/26,152,
02NC001,1,2025/04/27,149,
02NC001,1,2025/04/28,179,
02NC001,1,2025/04/29,265,
02NC001,1,2025/04/30,314,
02NC001,1,2025/05/01,317,
02NC001,1,2025/05/02,357,
02NC001,1,2025/05/03,453,
02NC001,1,2025/05/04,501,
02NC001,1,2025/05/05,515,
02NC001,1,2025/05/06,521,
02NC001,1,2025/05/07,530,
02NC001,1,2025/05/08,513,
02NC001,1,2025/05/09,464,
02NC001,1,2025/05/10,413,
02NC001,1,2025/05/11,371,
02NC001,1,2025/05/12,340,
02NC001,1,2025/05/13,309,
02NC001,1,2025/05/14,294,
02NC001,1,2025/05/15,303,
02NC001,1,2025/05/16,311,
02NC001,1,2025/05/17,348,
02NC001,1,2025/05/18,413,
02NC001,1,2025/05/19,436,
02NC001,1,2025/05/20,439,
02NC001,1,2025/05/21,456,
02NC001,1,2025/05/22,456,
02NC001,1,2025/05/23,422,
02NC001,1,2025/05/24,388,
02NC001,1,2025/05/25,374,
02NC001,1,2025/05/26,371,
02NC001,1,2025/05/27,345,
02NC001,1,2025/05/28,309,
02NC001,1,2025/05/29,274,
02NC001,1,2025/05/30,251,
02NC001,1,2025/05/31,272,
02NC001,1,2025/06/01,340,
02NC001,1,2025/06/02,343,
02NC001,1,2025/06/03,340,
02NC001,1,2025/06/04,371,
02NC001,1,2025/06/05,289,
02NC001,1,2025/06/06,259,
02NC001,1,2025/06/07,216,
02NC001,1,2025/06/08,196,
02NC001,1,2025/06/09,188,
02NC001,1,2025/06/10,218,
02NC001,1,2025/06/11,232,
02NC001,1,2025/06/12,200,
02NC001,1,2025/06/13,185,
02NC001,1,2025/06/14,220,
02NC001,1,2025/06/15,223,
02NC001,1,2025/06/16,216,
02NC001,1,2025/06/17,206,
02NC001,1,2025/06/18,191,
02NC001,1,2025/06/19,200,
02NC001,1,2025/06/20,306,
02NC001,1,2025/06/21,328,
02NC001,1,2025/06/22,306,
02NC001,1,2025/06/23,286,
02NC001,1,2025/06/24,360,
02NC001,1,2025/06/25,379,
02NC001,1,2025/06/26,385,
02NC001,1,2025/06/27,374,
02NC001,1,2025/06/28,340,
02NC001,1,2025/06/29,278,
02NC001,1,2025/06/30,286,
02NC001,1,2025/07/01,351,
02NC001,1,2025/07/02,362,
02NC001,1,2025/07/03,362,
02NC001,1,2025/07/04,408,
02NC001,1,2025/07/05,450,
02NC001,1,2025/07/06,456,
02NC001,1,2025/07/07,456,
02NC001,1,2025/07/08,456,
02NC001,1,2025/07/09,470,
02NC001,1,2025/07/10,481,
02NC001,1,2025/07/11,428,
02NC001,1,2025/07/12,343,
02NC001,1,2025/07/13,326,
02NC001,1,2025/07/14,275,
02NC001,1,2025/07/15,204,
02NC001,1,2025/07/16,180,
02NC001,1,2025/07/17,170,
02NC001,1,2025/07/18,261,
02NC001,1,2025/07/19,385,
02NC001,1,2025/07/20,309,
02NC001,1,2025/07/21,239,
02NC001,1,2025/07/22,162,
02NC001,1,2025/07/23,156,
02NC001,1,2025/07/24,245,
02NC001,1,2025/07/25,282,
02NC001,1,2025/07/26,208,
02NC001,1,2025/07/27,171,
02NC001,1,2025/07/28,119,
02NC001,1,2025/07/29,97.4,
02NC001,1,2025/07/30,106,
02NC001,1,2025/07/31,216,
02NC001,1,2025/08/01,206,
02NC001,1,2025/08/02,128,
02NC001,1,2025/08/03,96.0,
02NC001,1,2025/08/04,112,
02NC001,1,2025/08/05,234,
02NC001,1,2025/08/06,261,
02NC001,1,2025/08/07,271,
02NC001,1,2025/08/08,278,
02NC001,1,2025/08/09,253,
02NC001,1,2025/08/10,194,
02NC001,1,2025/08/11,204,
02NC001,1,2025/08/12,320,
02NC001,1,2025/08/13,362,
02NC001,1,2025/08/14,391,
02NC001,1,2025/08/15,377,
02NC001,1,2025/08/16,371,
02NC001,1,2025/08/17,368,
02NC001,1,2025/08/18,260,
02NC001,1,2025/08/19,193,
02NC001,1,2025/08/20,294,
02NC001,1,2025/08/21,385,
02NC001,1,2025/08/22,279,
02NC001,1,2025/08/23,149,
02NC001,1,2025/08/24,140,
02NC001,1,2025/08/25,280,
02NC001,1,2025/08/26,385,
02NC001,1,2025/08/27,388,
02NC001,1,2025/08/28,314,
02NC001,1,2025/08/29,251,
02NC001,1,2025/08/30,166,
